PRESSURE WASHER,,,,,
PRODUCT,ORIGINAL PRICE,100% MARKUP,FINAL PRICE,,
Pressure washer K 7 WCM,"R11,939.00","R11,939.00","R23,878.00",,
Pressure washer K 5 Power Control,"R8,929.00","R8,929.00","R17,858.00",,
Pressure washer K 4 WCM,"R6,299.00","R6,299.00","R12,598.00",,
Pressure washer K 3 Power Control,"R4,199.00","R4,199.00","R8,398.00",,
Pressure washer K 3,"R3,619.00","R3,619.00","R7,238.00",,
Samsung 7kg Inox Front Loader Washing Machine ,"R6,999.00","R6,999.00","R13,998.00",***,
Pressure washer K 2 Premium VPS,"R2,579.00","R2,579.00","R5,158.00",,
Cordless pressure washer K 2 Battery Set,"R8,889.00","R8,889.00","R17,778.00",,
Pressure washer K Mini,"R2,999.00","R2,999.00","R5,998.00",,
K 2 Cordless Battery Pressure Washer,"R9,799.00","R9,799.00","R19,598.00",,
K 3 Pressure Washer,"R3,799.00","R3,799.00","R7,598.00",,
K 3 Car Pressure Washer,"R4,619.00","R4,619.00","R9,238.00",,
K 3 Power Control Home,"R5,019.00","R5,019.00","R10,038.00",,
K 4 Car Pressure Washer,"R7,119.00","R7,119.00","R14,238.00",,
K 4 WCM Eco!Booster Pressure Washer,"R7,019.00","R7,019.00","R14,038.00",,
K 4 WCM Pressure Washer & 25 m Hose Pipe,"R6,999.00","R6,999.00","R13,998.00",,
K 4 Power Control Home & Brush Combo,"R9,999.00","R9,999.00","R19,998.00",,
K 5 Power Control Car Wash Combo,"R9,979.00","R9,979.00","R19,958.00",,
K 5 Power Control Eco!Booster,"R9,649.00","R9,649.00","R19,298.00",,
Pole Saw PSW 18/20 Battery,"R3,499.00","R3,499.00","R6,998.00",,
Pole Saw PSW 18/20 & Battery 2.5 Ah & Fast Charger,"R5,799.00","R5,799.00","R11,598.00",,
Pole Saw PSW 18/20 & Battery 5 Ah & Fast Charger,"R6,499.00","R6,499.00","R12,998.00",,
TLO 18-32 Battery Branch Pruner,"R4,039.00","R4,039.00","R8,078.00",,
TLO 18-32 Battery Branch Pruner & 2.5 Ah & Fast Charger,"R6,399.00","R6,399.00","R12,798.00",,
TLO 18-32 Battery Branch Pruner & 5 Ah & Fast Charger,"R7,099.00","R7,099.00","R14,198.00",,
PCL 4 Patio Cleaner,"R4,999.00","R4,999.00","R9,998.00",,
PCL 4 Wood Plus Patio Cleaner,"R5,829.00","R5,829.00","R11,658.00",,
PCL 4 Stone Plus Patio Cleaner,"R5,829.00","R5,829.00","R11,658.00",,
Lawn Trimmer LTR 18-30 Battery Set,"R4,099.00","R4,099.00","R8,198.00",,
Weed Remover WRE 18-55 Battery Set,"R5,349.00","R5,349.00","R10,698.00",,
Hedge Trimmer HGE 18-50 Battery Set,"R5,229.00","R5,229.00","R10,458.00",,
Trimmer Karcher HGE 18-50 & 5 Ah Battery,"R7,399.00","R7,399.00","R14,798.00",,
Chainsaw CNS 36-35 Battery,"R5,999.00","R5,999.00","R11,998.00",,
LBL 4 Leaf Blower,"R7,099.00","R7,099.00","R14,198.00",,
Blower Vac BLV 36-240 Battery,"R5,859.00","R5,859.00","R11,718.00",,
Blower Vac BLV 36-240 Battery 2.5 Ah & Fast Charger,"R9,699.00","R9,699.00","R19,398.00",,
Battery 36 V / 2.5 Ah,"R3,599.00","R3,599.00","R7,198.00",,
Battery 36 V / 5 Ah,"R4,889.00","R4,889.00","R9,778.00",,
Battery Pro 36 V / 6 Ah,"R6,679.00","R6,679.00","R13,358.00",,
Battery Power+ 36 V / 7.5 Ah,"R7,449.00","R7,449.00","R14,898.00",,
Battery Pro 36 V / 6 Ah,"R6,679.00","R6,679.00","R13,358.00",,
S 4 Twin Sweeper,"R3,989.00","R3,989.00","R7,978.00",,
WD 1 Compact Battery Set ***,"R4,999.00","R4,999.00","R9,998.00",,
WD 3 Battery Set Wet and Dry Vacuum Cleaner,"R7,199.00","R7,199.00","R14,398.00",,
Karcher Vacuum Cleaner WD 4 & Bags,"R3,259.00","R3,259.00","R6,518.00",,
WD 4 Car Wet & Dry Vacuum Cleaner,"R3,429.00","R3,429.00","R6,858.00",,
WD 4 S Wet and Dry Vacuum Cleaner,"R3,259.00","R3,259.00","R6,518.00",,
WD 4 S Vacuum Cleaner & Floor Nozzle,"R3,549.00","R3,549.00","R7,098.00",,
WD 4 S Vacuum Cleaner & Bags & Filter,"R3,889.00","R3,889.00","R7,778.00",,
WD 4 S Car Wet & Dry Vacuum Cleaner,"R4,529.00","R4,529.00","R9,058.00",,
WD 6 P S Wet & Dry Vacuum Cleaner,"R6,199.00","R6,199.00","R12,398.00",,
WD 4 S Wet and Dry Vacuum Cleaner,"R3,299.00","R3,299.00","R6,598.00",,
WD 4 Vacuum Cleaner & Floor Nozzle,"R3,249.00","R3,249.00","R6,498.00",,
WD 6 Car Wet & Dry Vacuum Cleaner,"R7,429.00","R7,429.00","R14,858.00",,
WD 6 Wet & Dry Vacuum & Bags & Filter,"R6,789.00","R6,789.00","R13,578.00",,
VC 4 Cordless Vacuum Cleaner,"R5,099.00","R5,099.00","R10,198.00",,
VC 5 Bagless Vacuum Cleaner,"R3,599.00","R3,599.00","R7,198.00",,
VC 6 Cordless Vacuum Cleaner,"R7,999.00","R7,999.00","R15,998.00",,
VC 6 Cordless Car & Home,"R9,759.00","R9,759.00","R19,518.00",,
DS 6 Water Filtration Vacuum,"R7,999.00","R7,999.00","R15,998.00",,
RCV 3 Robot Vacuum Cleaner With Wiping Function,"R8,599.00","R8,599.00","R17,198.00",,
RCV 5 Suction Station,"R5,399.00","R5,399.00","R10,798.00",,
T 7/1 Classic Dry Vacuum & Brushes & Crevice Nozzle,"R3,299.00","R3,299.00","R6,598.00",,
T 8/1 Classic Dry Vacuum Cleaner,"R3,049.00","R3,049.00","R6,098.00",,
T 10/1 Pro Dry Vacuum Cleaner,"R4,839.00","R4,839.00","R9,678.00",,
T 10/1 Dry Vacuum Cleaner & Brushes & Crevice Nozzle,"R5,399.00","R5,399.00","R10,798.00",,
T 12/1 eco!efficiency Pro Dry Vacuum Cleaner,"R8,649.00","R8,649.00","R17,298.00",,
T 14/1 Classic Pro Dry Vacuum Cleaner,"R3,299.00","R3,299.00","R6,598.00",,
,,R0.00,R0.00,,
Hard floor cleaner FC 2-4 Battery Set,"R4,259.00","R4,259.00","R8,518.00",,
Hard floor cleaner FC 4-4 Battery Set,"R6,869.00","R6,869.00","R13,738.00",,
Hard floor cleaner FC 7 Cordless,"R9,269.00","R9,269.00","R18,538.00",,
Floor polisher FP 303,"R6,289.00","R6,289.00","R12,578.00",,
Battery-power vacuum cleaner VC 7 Cordless yourMax,"R8,999.00","R8,999.00","R17,998.00",,
Battery-power vacuum cleaner VC 6 Cordless ourFamily,"R8,189.00","R8,189.00","R16,378.00",,
Handheld vacuum cleaner VC 5,"R3,598.00","R3,598.00","R7,196.00",,
Battery-power vacuum cleaner VC 4 Cordless myHome,"R5,239.00","R5,239.00","R10,478.00",,
,"R3,379.00","R3,379.00","R6,758.00",,
Ash and dry vacuum cleaner AD 2,"R3,079.00","R3,079.00","R6,158.00",,
Spray extraction cleaner SE 4,"R6,089.00","R6,089.00","R12,178.00",,
Spray extraction cleaner SE 5,"R7,849.00","R7,849.00","R15,698.00",,
JBL PartyBox Club 120 - OH5506,"R9,199.00","R9,199.00","R18,398.00",,
Submersible dirty water pump SP 9.500 Dirt,"R1,839.00","R1,839.00","R3,678.00",,
Submersible dirty water pump SP 22.000 Dirt,"R3,249.00","R3,249.00","R6,498.00",,
Flat suction submersible pump SP 9.000 Flat,"R1,839.00","R1,839.00","R3,678.00",,
Flat-suction submersible dirty water pump SP 16.000 Dual,"R3,039.00","R3,039.00","R6,078.00",,
Barrel pump BP 2.000-18 Barrel,"R2,029.00","R2,029.00","R4,058.00",,
Garden pump BP 4.500 Garden Set Plus,"R3,959.00","R3,959.00","R7,918.00",,
Garden pump BP 6.000 Garden Set,"R5,479.00","R5,479.00","R10,958.00",,
Domestic water supply BP 4.900 Home,"R7,369.00","R7,369.00", ,,
"Hose set with hose hanger, 15 m",R829.00,R829.00,"R1,658.00",,
"PrimoFlex® hose 1/2"" - 20 m",R449.00,R449.00,R898.00,,
"Primo Flex® hose 5/8"" - 25 m",R699.00,R699.00,"R1,398.00",,
"PrimoFlex® hose 3/4"" – 25 m","R1,069.00","R1,069.00","R2,138.00",,
